transaction_id,timestamp,payment_channel,bank_name,amount,status,failure_reason,hour,day_of_month,month,day_of_week,is_failed,is_night_window,is_salary_window
TXN000001,2024-03-03 01:58:20,UPI,ICICI,12320.1,Failed,insufficient_funds,1,3,3,Sunday,1,1,0
TXN000002,2024-03-06 16:49:26,Card,Kotak,4438.25,Success,none,16,6,3,Wednesday,0,0,0
TXN000003,2024-01-03 21:25:57,UPI,HDFC,25317.23,Failed,network_failure,21,3,1,Wednesday,1,0,0
TXN000004,2024-03-10 12:26:47,RTGS,Kotak,21034.04,Success,none,12,10,3,Sunday,0,0,0
TXN000005,2024-01-28 00:13:52,Card,SBI,37964.49,Failed,duplicate_txn,0,28,1,Sunday,1,1,1
TXN000006,2024-02-03 00:50:28,UPI,HDFC,47864.93,Failed,insufficient_funds,0,3,2,Saturday,1,1,0
TXN000007,2024-02-06 21:17:41,UPI,ICICI,30225.93,Success,none,21,6,2,Tuesday,0,0,0
TXN000008,2024-03-11 20:23:53,NEFT,SBI,48658.48,Success,none,20,11,3,Monday,0,0,0
TXN000009,2024-02-23 14:20:52,UPI,Kotak,44284.04,Success,none,14,23,2,Friday,0,0,0
TXN000010,2024-01-19 16:03:53,Card,SBI,33097.04,Success,none,16,19,1,Friday,0,0,0
TXN000011,2024-01-08 17:55:43,Card,SBI,19068.3,Success,none,17,8,1,Monday,0,0,0
TXN000012,2024-03-21 23:37:05,NEFT,ICICI,17828.01,Success,none,23,21,3,Thursday,0,1,0
TXN000013,2024-03-09 03:21:35,Wallet,SBI,30495.64,Failed,network_failure,3,9,3,Saturday,1,0,0
TXN000014,2024-01-16 20:45:19,NEFT,ICICI,49477.22,Success,none,20,16,1,Tuesday,0,0,0
TXN000015,2024-02-24 01:47:13,UPI,ICICI,42158.31,Success,none,1,24,2,Saturday,0,1,0
TXN000016,2024-01-23 05:43:14,Card,ICICI,20118.12,Failed,outside_neft_hours,5,23,1,Tuesday,1,0,0
TXN000017,2024-03-26 02:05:04,Card,HDFC,32806.39,Success,none,2,26,3,Tuesday,0,0,0
TXN000018,2024-03-29 19:03:01,RTGS,HDFC,13317.52,Success,none,19,29,3,Friday,0,0,1
TXN000019,2024-02-24 12:04:57,NEFT,Kotak,21478.85,Success,none,12,24,2,Saturday,0,0,0
TXN000020,2024-02-05 03:30:46,UPI,HDFC,25525.36,Failed,wrong_pin,3,5,2,Monday,1,0,0
TXN000021,2024-03-24 14:30:54,UPI,HDFC,39624.76,Success,none,14,24,3,Sunday,0,0,0
TXN000022,2024-01-07 04:01:49,NEFT,Kotak,49806.46,Success,none,4,7,1,Sunday,0,0,0
TXN000023,2024-02-23 17:06:35,Card,SBI,34046.14,Failed,fraud_blocked,17,23,2,Friday,1,0,0
TXN000024,2024-03-13 21:40:19,UPI,ICICI,5666.45,Success,none,21,13,3,Wednesday,0,0,0
TXN000025,2024-02-14 01:15:10,UPI,ICICI,48597.22,Success,none,1,14,2,Wednesday,0,1,0
TXN000026,2024-02-19 06:59:02,Wallet,ICICI,42099.3,Success,none,6,19,2,Monday,0,0,0
TXN000027,2024-01-20 07:29:47,UPI,HDFC,27015.01,Success,none,7,20,1,Saturday,0,0,0
TXN000028,2024-02-21 11:48:49,Wallet,Kotak,16275.39,Failed,wrong_ifsc,11,21,2,Wednesday,1,0,0
TXN000029,2024-03-26 07:34:13,Wallet,ICICI,12048.67,Success,none,7,26,3,Tuesday,0,0,0
TXN000030,2024-02-25 02:02:14,Wallet,SBI,36622.19,Success,none,2,25,2,Sunday,0,0,0
TXN000031,2024-03-14 20:19:53,NEFT,HDFC,6506.73,Success,none,20,14,3,Thursday,0,0,0
TXN000032,2024-02-23 09:08:06,UPI,Kotak,43634.41,Success,none,9,23,2,Friday,0,0,0
TXN000033,2024-01-21 13:31:32,Wallet,HDFC,35676.15,Success,none,13,21,1,Sunday,0,0,0
TXN000034,2024-03-06 05:08:38,RTGS,Axis,44990.74,Success,none,5,6,3,Wednesday,0,0,0
TXN000035,2024-01-25 01:39:43,UPI,ICICI,1149.61,Failed,outside_neft_hours,1,25,1,Thursday,1,1,0
TXN000036,2024-01-22 09:08:37,UPI,SBI,11524.2,Success,none,9,22,1,Monday,0,0,0
TXN000037,2024-03-24 11:05:44,UPI,Kotak,11976.43,Success,none,11,24,3,Sunday,0,0,0
TXN000038,2024-01-21 19:12:28,NEFT,Kotak,28852.96,Success,none,19,21,1,Sunday,0,0,0
TXN000039,2024-02-15 22:06:24,Card,HDFC,4806.86,Success,none,22,15,2,Thursday,0,1,0
TXN000040,2024-02-04 09:34:23,NEFT,Axis,43205.45,Failed,insufficient_funds,9,4,2,Sunday,1,0,0
TXN000041,2024-01-06 21:14:15,NEFT,ICICI,40049.57,Success,none,21,6,1,Saturday,0,0,0
TXN000042,2024-01-19 14:26:14,UPI,Axis,7095.1,Failed,account_blocked,14,19,1,Friday,1,0,0
TXN000043,2024-01-25 06:05:28,Card,SBI,22212.22,Success,none,6,25,1,Thursday,0,0,0
TXN000044,2024-02-23 10:21:03,UPI,Kotak,41817.78,Success,none,10,23,2,Friday,0,0,0
TXN000045,2024-03-30 22:35:29,Card,HDFC,8398.92,Failed,network_failure,22,30,3,Saturday,1,1,1
